order	bucket	parent	stage	stage_file_count	stage_bytes	missing_in_parent	size_mismatches	not_hardlinked	status	detail_failures_tsv
1	digitalmodel-suction-pile-sizing	/mnt/ace/digitalmodel/references/suction-pile-sizing	/mnt/ace/digitalmodel/references/suction-pile-sizing/_from_elements	4	235464	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/01-digitalmodel-suction-pile-sizing.option-d-verify-failures.tsv
2	assethold-casa-grande-77017	/mnt/ace/assethold/casa-grande-77017	/mnt/ace/assethold/casa-grande-77017/_from_elements	3	16703705	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/02-assethold-casa-grande-77017.option-d-verify-failures.tsv
3	digitalmodel-qgis	/mnt/ace/digitalmodel/tools/qgis	/mnt/ace/digitalmodel/tools/qgis/_from_elements	3	398492107	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/03-digitalmodel-qgis.option-d-verify-failures.tsv
4	digitalmodel-riser-toolbox	/mnt/ace/digitalmodel/references/riser-toolbox	/mnt/ace/digitalmodel/references/riser-toolbox/_from_elements	8	510241677	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/04-digitalmodel-riser-toolbox.option-d-verify-failures.tsv
5	doris-62092-sesa	/mnt/ace/doris/62092_sesa	/mnt/ace/doris/62092_sesa/_from_elements	418	1465267463	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/05-doris-62092-sesa.option-d-verify-failures.tsv
6	doris-university	/mnt/ace/doris/training	/mnt/ace/doris/training/_from_elements	564	11060962662	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/06-doris-university.option-d-verify-failures.tsv
7	doris-codes-specs	/mnt/ace/doris/codes	/mnt/ace/doris/codes/_from_elements/codes-doris	35197	26411658490	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/07-doris-codes-specs.option-d-verify-failures.tsv
8	acma-projects-31522-woodfibre	/mnt/ace/acma-projects/31522-woodfibre-lng	/mnt/ace/acma-projects/31522-woodfibre-lng/_from_elements	5364	1879405139855	0	0	0	PASS	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/08-acma-projects-31522-woodfibre.option-d-verify-failures.tsv
