bucket_log	number_of_files	created_files	regular_files_transferred	total_file_size	total_transferred_file_size	dry_run_footer	log_path
01-digitalmodel-suction-pile-sizing	5 (reg: 4, dir: 1)	4 (reg: 4)	4	235,464 bytes	235,464 bytes	total size is 235,464  speedup is 795.49 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/01-digitalmodel-suction-pile-sizing.rsync-ignore-existing-dry-run.log
02-assethold-casa-grande-77017	4 (reg: 3, dir: 1)	3 (reg: 3)	3	16,703,705 bytes	16,703,705 bytes	total size is 16,703,705  speedup is 55,679.02 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/02-assethold-casa-grande-77017.rsync-ignore-existing-dry-run.log
03-digitalmodel-qgis	4 (reg: 3, dir: 1)	3 (reg: 3)	3	398,492,107 bytes	398,492,107 bytes	total size is 398,492,107  speedup is 1,963,015.31 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/03-digitalmodel-qgis.rsync-ignore-existing-dry-run.log
04-digitalmodel-riser-toolbox	12 (reg: 8, dir: 4)	11 (reg: 8, dir: 3)	8	510,241,677 bytes	510,241,677 bytes	total size is 510,241,677  speedup is 755,913.60 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/04-digitalmodel-riser-toolbox.rsync-ignore-existing-dry-run.log
05-doris-62092-sesa	559 (reg: 418, dir: 141)	558 (reg: 418, dir: 140)	418	1,465,267,463 bytes	1,465,267,463 bytes	total size is 1,465,267,463  speedup is 48,307.64 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/05-doris-62092-sesa.rsync-ignore-existing-dry-run.log
06-doris-university	627 (reg: 564, dir: 63)	626 (reg: 564, dir: 62)	564	11,060,962,662 bytes	11,060,962,662 bytes	total size is 11,060,962,662  speedup is 312,200.81 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/06-doris-university.rsync-ignore-existing-dry-run.log
07-doris-codes-specs	36,377 (reg: 35,197, dir: 1,180)	36,376 (reg: 35,197, dir: 1,179)	35,197	26,411,658,490 bytes	26,411,658,490 bytes	total size is 26,411,658,490  speedup is 22,600.92 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/07-doris-codes-specs.rsync-ignore-existing-dry-run.log
08-acma-projects-31522-woodfibre	5,605 (reg: 5,364, dir: 241)	5,604 (reg: 5,364, dir: 240)	5,364	1,879,405,139,855 bytes	1,879,405,139,855 bytes	total size is 1,879,405,139,855  speedup is 8,432,893.04 (DRY RUN)	/mnt/local-analysis/workspace-hub/.planning/intel/elements-ingest/dedupe-merge-assessment/08-acma-projects-31522-woodfibre.rsync-ignore-existing-dry-run.log
