order	bucket	parent_target	staging_location	parent_file_count_excluding_staging	parent_bytes_excluding_staging	stage_file_count	stage_bytes	same_path_same_size_count	same_path_different_size_count	stage_only_count	parent_only_count	recommended_next_action
1	digitalmodel-suction-pile-sizing	/mnt/ace/digitalmodel/references/suction-pile-sizing	/mnt/ace/digitalmodel/references/suction-pile-sizing/_from_elements	1	920	4	235464	0	0	4	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
2	assethold-casa-grande-77017	/mnt/ace/assethold/casa-grande-77017	/mnt/ace/assethold/casa-grande-77017/_from_elements	1	890	3	16703705	0	0	3	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
3	digitalmodel-qgis	/mnt/ace/digitalmodel/tools/qgis	/mnt/ace/digitalmodel/tools/qgis/_from_elements	1	840	3	398492107	0	0	3	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
4	digitalmodel-riser-toolbox	/mnt/ace/digitalmodel/references/riser-toolbox	/mnt/ace/digitalmodel/references/riser-toolbox/_from_elements	1	890	8	510241677	0	0	8	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
5	doris-62092-sesa	/mnt/ace/doris/62092_sesa	/mnt/ace/doris/62092_sesa/_from_elements	53	255676112	418	1465267463	0	0	418	53	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
6	doris-university	/mnt/ace/doris/training	/mnt/ace/doris/training/_from_elements	1	853	564	11060962662	0	0	564	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
7	doris-codes-specs	/mnt/ace/doris/codes	/mnt/ace/doris/codes/_from_elements/codes-doris	5	10587294	35197	26411658490	0	0	35197	5	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
8	acma-projects-31522-woodfibre	/mnt/ace/acma-projects/31522-woodfibre-lng	/mnt/ace/acma-projects/31522-woodfibre-lng/_from_elements	1	884	5364	1879405139855	0	0	5364	1	Dry-run rsync --ignore-existing; all staged files appear new by relative path.
