repo	path	size	file_count
kaggle-rogii-2026	data/	1.5K	0
teamresumes	src/external/	0	0
teamresumes	src/modules/	0	0
teamresumes	tests/modules/	0	0
workspace-hub	.agents/skills/finance/tax-filing-strategy-and-packets/references/	8.0K	1
workspace-hub	.agents/skills/session-logs/raw/	512	1
workspace-hub	.claude/skills/finance/tax-filing-strategy-and-packets/references/	12K	1
workspace-hub	.local/	512	1
workspace-hub	.ops/	8.0K	1
workspace-hub	_archive/experimental/	908K	42
workspace-hub	config/search/	3.8M	1
workspace-hub	data/document-index/logs/	975K	69
workspace-hub	data/domain-tag/	44K	10
workspace-hub	data/modules/	113K	10
workspace-hub	data/standards/	28M	10681
workspace-hub	examples/claude-code-course/uigen/prisma/	52K	1
workspace-hub	examples/claude-code-course/uigen/src/	157K	16
workspace-hub	knowledge/dark-intelligence/geotechnical/	4.0K	1
workspace-hub	knowledge/dark-intelligence/xlsx-poc/cc-23-6h-flowback-calculator-4/tests/	166M	2
workspace-hub	knowledge/wikis/mkt-a/	12K	3
workspace-hub	knowledge/wikis/marine-engineering/	4.6M	6
worldenergydata	.agent-os/	48K	2
worldenergydata	.archived/	15M	3
worldenergydata	.claude/commands/	41K	13
worldenergydata	.claude/skills/_internal/	313K	20
worldenergydata	data/modules/marine_safety/database/	60M	1
worldenergydata	data/modules/marine_safety/raw/bsee_offshore/excel/	9.5K	3
worldenergydata	data/modules/marine_safety/raw/bsee_offshore/pdf/	9.5K	3
worldenergydata	data/modules/marine_safety/raw/dlp_historical/	9.5K	3
worldenergydata	data/modules/vessel_hull_models/hulls/converted_gdf/docs/modules/orcaflex/	80K	4
worldenergydata	logs/overnight/	20K	4
worldenergydata	tests/unit/bsee/analysis/2025-08-01-drilling-script-validation/	53K	10
worldenergydata	tests/unit/bsee/analysis/2025-08-02-drilling-completion-output-validation/	28K	3
worldenergydata	tests/unit/bsee/analysis/api12_drilling_completion_analysis/	148K	9
worldenergydata	tests/unit/bsee/analysis/comprehensive-report-system/	18M	13
worldenergydata	tests/unit/bsee/analysis/multiple_wells_comparison_test/	36K	4
