path,file_size_bytes,total_sheets,has_vba,domain,project_number,status
/mnt/ace/digitalmodel/docs/_project-data/projects/modules/calm/baltic_039m/TEST_OPERABILITY/results/project_summary.xlsx,810370,5,False,results,,ok
/mnt/ace/digitalmodel/docs/aqwa/data/scripts/RAOs/example_Critical_Damping_Analysis.xls,59904,0,False,other,,"ok (valid BIFF binary, xlrd needed for details)"
/mnt/ace/digitalmodel/docs/aqwa/data/scripts/mooring_analysis/output/2024-05-30 aqr_moorings.xlsx,1115457,23,False,mooring,2024,ok
/mnt/ace/digitalmodel/docs/aqwa/data/scripts/mooring_analysis/output/aqr_moorings.xlsx,1115457,23,False,mooring,,ok
/mnt/ace/digitalmodel/docs/artificial_lift/data/references/Rod Detail Table.xlsx,47518,1,False,other,,ok
/mnt/ace/digitalmodel/docs/cathodic_protection/data/cal/350106-DM-GE-CTR2-00002 Anode_Depth_and_Salnity (Rev 2).xlsx,42223,4,False,cathodic_protection,3501,ok
/mnt/ace/digitalmodel/docs/cathodic_protection/data/cal/350106-SC-EN-022-SD-000229-CTR2-0001-Rev0 CP Calculation vs. programming.xls,478208,0,False,cathodic_protection,3501,"ok (valid BIFF binary, xlrd needed for details)"
/mnt/ace/digitalmodel/docs/cathodic_protection/data/cal/350106-SC-EN-022-SD-000229-CTR2-0001-Rev0 CP Calculation_correct_final_current_demand_check.xls,472064,0,False,cathodic_protection,3501,"ok (valid BIFF binary, xlrd needed for details)"
/mnt/ace/digitalmodel/docs/cathodic_protection/data/vendor/anode_info.xlsx,10766,2,False,cathodic_protection,,ok
/mnt/ace/digitalmodel/docs/coiled-tubing/data/data/Tenaris CT Technical Tables 2014.xlsx,4059776,36,False,other,,ok
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/StZ/0127-CAL-0013-02 Riser Analysis (MP Draft 2).xlsx,369876,0,False,riser,0127,error: AttributeError: 'Chartsheet' object has no attribute 'max_row'
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/StZ/0127-CAL-0013-04 Riser Analysis (RELEASED).xlsx,350389,0,False,riser,0127,error: AttributeError: 'Chartsheet' object has no attribute 'max_row'
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/StZ/OrcaFlex2.xlsx,350737,0,False,mooring,0127,error: AttributeError: 'Chartsheet' object has no attribute 'max_row'
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/StZ/Trail1.xlsx,57275,3,False,mooring,0127,ok
"/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/Stj2A/0127-CAL-0011-02 8Pt,12pt Optimization.xlsx",1445570,0,False,mooring,0127,error: AttributeError: 'Chartsheet' object has no attribute 'max_row'
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/Stw/0127-CAL-0013-02 Riser Analysis (VD Draft).xlsx,3095767,0,False,riser,0127,error: AttributeError: 'Chartsheet' object has no attribute 'max_row'
/mnt/ace/digitalmodel/docs/domain/mooring/0127-mooring-analysis/inputs/mnt/ace/_ss_repo/0127 Mooring Analysis/Mooring Analysis (orcaflex)/Stw/~$0127-CAL-0012-01Riser Analysis.xlsx,165,0,False,riser,0127,error: BadZipFile: File is not a zip file
